id,link,progress,status_code,status_abbreviation,note,extracted_date
1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11858358,extracted,200,,,
2,https://pmc.ncbi.nlm.nih.gov/articles/PMC11395432,extracted,200,,,
3,https://pmc.ncbi.nlm.nih.gov/articles/PMC10998004,extracted,200,,,
4,https://pmc.ncbi.nlm.nih.gov/articles/PMC6962767,extracted,200,,,
5,https://pmc.ncbi.nlm.nih.gov/articles/PMC2822144,extracted,200,,,
6,https://pmc.ncbi.nlm.nih.gov/articles/PMC6083537,extracted,200,,,
7,https://pmc.ncbi.nlm.nih.gov/articles/PMC8829486,extracted,200,,,
8,https://pmc.ncbi.nlm.nih.gov/articles/PMC8289470,extracted,200,,,
9,https://pmc.ncbi.nlm.nih.gov/articles/PMC3431581,extracted,200,,,
10,https://pmc.ncbi.nlm.nih.gov/articles/PMC3064759,extracted,200,,,
11,https://pmc.ncbi.nlm.nih.gov/articles/PMC7770610,extracted,200,,,
12,https://pmc.ncbi.nlm.nih.gov/articles/PMC6938588,extracted,200,,,
13,https://pmc.ncbi.nlm.nih.gov/articles/PMC1839776,extracted,200,,,
14,https://medlineplus.gov/triglycerides.html,extracted,200,,,
15,https://ncbi.nlm.nih.gov/books/NBK459368,extracted,200,,,
16,https://pmc.ncbi.nlm.nih.gov/articles/PMC11363501,extracted,200,,,
17,https://pmc.ncbi.nlm.nih.gov/articles/PMC12287477,extracted,200,,,
18,https://pmc.ncbi.nlm.nih.gov/articles/PMC11678337,extracted,200,,,
19,https://pmc.ncbi.nlm.nih.gov/articles/PMC12675084,extracted,200,,,
20,https://pmc.ncbi.nlm.nih.gov/articles/PMC10866737,extracted,200,,,
21,https://pmc.ncbi.nlm.nih.gov/articles/PMC10541273,extracted,200,,,
22,https://pmc.ncbi.nlm.nih.gov/articles/PMC11204042,extracted,200,,,
23,https://pmc.ncbi.nlm.nih.gov/articles/PMC8762786,extracted,200,,,
24,https://pmc.ncbi.nlm.nih.gov/articles/PMC7190441,extracted,200,,,
25,https://pmc.ncbi.nlm.nih.gov/articles/PMC2875732,extracted,200,,,
26,https://pmc.ncbi.nlm.nih.gov/articles/PMC6020195,extracted,200,,,
27,https://pmc.ncbi.nlm.nih.gov/articles/PMC8058608,extracted,200,,,
28,https://pmc.ncbi.nlm.nih.gov/articles/PMC7250635,extracted,200,,,
29,https://ncbi.nlm.nih.gov/books/NBK526072,extracted,200,,,
30,https://ncbi.nlm.nih.gov/books/NBK571337,extracted,200,,,
31,https://medlineplus.gov/genetics/condition/rrm2b-related-mitochondrial-dna-depletion-syndrome-encephalomyopathic-form-with-renal-tubulopathy,extracted,200,,,
32,https://medlineplus.gov/genetics/condition/short-stature-hyperextensibility-hernia-ocular-depression-rieger-anomaly-and-teething-delay,extracted,200,,,
33,https://medlineplus.gov/genetics/condition/cerebral-autosomal-recessive-arteriopathy-with-subcortical-infarcts-and-leukoencephalopathy,extracted,200,,,
34,https://medlineplus.gov/genetics/condition/hereditary-fibrosing-poikiloderma-with-tendon-contractures-myopathy-and-pulmonary-fibrosis,extracted,200,,,
