link,id,source_file,link_hash,category
https://nhs.uk/baby/breastfeeding-and-bottle-feeding/breastfeeding-problems/breast-pain,,Breast Health.pdf,759d640f382f579d84d78e16a68b1afa9b5aec8826d4d61b34223852c6722318,uncategorized
https://cancer.gov/about-cancer/causes-prevention/genetics/genetic-testing-fact-sheet,,Breast Health.pdf,59a39a70f40e574c3321f549c2d8848a2744573eef1e64cfc5262fc773576938,uncategorized
https://cancer.gov/about-cancer/treatment/drugs/raloxifenehydrochloride,,Breast Health.pdf,1a5ce17f49ed56133b804953fd11306de0d9f8c12bf9b98857f16a935cb3bbd0,uncategorized
https://cancer.gov/types/breast/patient/pregnancy-breast-treatment-pdq,,Breast Health.pdf,7fde1db7911f8c955ea7dfa32b099221ad1c97b4cf53c7f2f6eedd7033b01a63,uncategorized
https://cancer.gov/types/breast/patient/child-breast-treatment-pdq,,Breast Health.pdf,2a432ff832bd1977d98497a36cf3e75dd91b15923a6ca0317a9ede686e8a0344,uncategorized
https://cancer.gov/about-cancer/treatment/types/targeted-therapies,,Breast Health.pdf,42ed88cb0a24db7109944293800dd01866adb2118907281cd16e789d2b608683,uncategorized
https://cancer.gov/types/breast/patient/male-breast-treatment-pdq,,Breast Health.pdf,accd5af1771173ea352d3c63409f082f8455cc2d17a88697ebd3d963d53233d8,uncategorized
https://cancer.gov/types/breast/breast-hormone-therapy-fact-sheet,,Breast Health.pdf,79d2103512818aceccc69cc31ed7385eff71a03d0ce1c72160fac91f250cd274,uncategorized
https://cancer.gov/about-cancer/treatment/drugs/tamoxifencitrate,,Breast Health.pdf,ef8c5bd643d79b6768323c51ad8f508d34e0c6bcc213f817853ce57b7579c497,uncategorized
https://cancer.gov/about-cancer/treatment/types/immunotherapy,,Breast Health.pdf,116dc84ca8aaeb3440a8d38220e805a1a241ffb85d34468da2bdf0c66a8627d3,uncategorized
https://cancer.gov/types/breast/breast-changes/dense-breasts,,Breast Health.pdf,be8ae4f56a8ed13e14393c4007a516782c2ad793de94c885cbf4a445388c425b,uncategorized
https://who.int/news-room/fact-sheets/detail/breast-cancer,,Breast Health.pdf,ff2ac5d7f275b77622ee80d5628af1e6cfe9c8d5bd494e180cb54ba80f18cbbc,uncategorized
https://cancer.gov/types/breast/reconstruction-fact-sheet,,Breast Health.pdf,6fe2ca654edb9a13ee46c61b9a5b739af633ac04765f63407300fb81e389c49d,uncategorized
https://cancer.gov/types/breast/paget-breast-fact-sheet,,Breast Health.pdf,97bcabf1d0738f019ec4ac4709025cdd73dc690524661acf893aec8fbf7f10b5,uncategorized
https://cancer.gov/about-cancer/treatment/drugs/breast,,Breast Health.pdf,6502da489da12efd2989655def3e7b4fc1d4b8d41b500f177091778ed7e77496,uncategorized
https://ncbi.nlm.nih.gov/books/NBK343820/table/ch1.t1,,Breast Health.pdf,9d293fbf38ca15c08f399d061a1fe0f6901c166e27be07e351bfb6f49102900a,uncategorized
